Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,4.1,26.06,-3.697
-75,south,3.93,26.81,-3.681
-60,south,3.5,27.7,-3.663
-45,south,2.83,28.96,-3.637
-30,south,1.97,31.28,-3.592
-15,south,0.99,38.79,-3.462
0,south,0.28,63.22,-1.182
15,south,1.17,-17.14,-0.068
30,south,2.14,-21.61,0.035
45,south,2.97,-23.42,0.076
60,south,3.6,-24.51,0.1
75,south,3.98,-25.33,0.117
90,south,4.1,-26.06,0.133
-90,east,4.1,26.04,90.132
-75,east,3.99,25.71,82.969
-60,east,3.69,24.63,76.134
-45,east,3.23,22.45,69.754
-30,east,2.7,18.44,63.843
-15,east,2.23,11.16,32.216
0,east,2.03,0.03,-1.456
15,east,2.23,-11.08,-35.349
30,east,2.7,-18.37,-63.706
45,east,3.23,-22.42,-69.634
60,east,3.69,-24.6,-75.957
75,east,3.99,-25.7,-82.782
90,east,4.1,-26.04,-89.868
-90,north,4.1,26.04,-0.132
-75,north,3.98,25.31,-0.117
-60,north,3.6,24.49,-0.099
-45,north,2.97,23.39,-0.076
-30,north,2.14,21.59,-0.035
-15,north,1.17,17.11,0.07
0,north,0.28,-63.31,1.324
15,north,0.99,-38.76,3.468
30,north,1.97,-31.25,3.595
45,north,2.83,-28.93,3.639
60,north,3.5,-27.68,3.664
75,north,3.93,-26.79,3.682
90,north,4.1,-26.04,3.697
-90,west,4.1,26.06,-90.133
-75,west,3.99,25.74,-82.967
-60,west,3.69,24.65,-76.129
-45,west,3.23,22.47,-69.749
-30,west,2.7,18.46,-63.836
-15,west,2.23,11.18,-32.218
0,west,2.03,0.03,1.456
15,west,2.23,-11.09,35.347
30,west,2.7,-18.39,63.701
45,west,3.24,-22.44,69.627
60,west,3.69,-24.62,75.952
75,west,3.99,-25.72,82.779
90,west,4.1,-26.06,89.867
