Site,Path,Int model,Int IGRF,Int median dif IGRF model,Int min model,Int max model,Inc model,Inc IGRF,Inc median dif IGRF model,Inc min model,Inc max model,Dec model,Dec IGRF,Dec median dif IGRF model,Dec min model,Dec max model
FS,1,21.28 ± 0.69,22.15,-0.87,20.61,22.49,-29.57 ± 3.49,-32.51,2.93,-35.69,-26.18,-15.36 ± 3.64,-15.12,-0.236,-20.7,-9.78
FE,1,22.1 ± 1.38,22.15,-0.05,19.94,24.1,-28.9 ± 4.42,-32.51,3.61,-36.79,-24.76,-13.9 ± 1.15,-15.12,1.228,-15.85,-12.36
FN,1,21.83 ± 0.99,22.15,-0.32,20.92,23.62,-29.55 ± 3.33,-32.51,2.96,-35.29,-26.2,-14.92 ± 3.92,-15.12,0.199,-20.58,-8.82
FW,1,22.16 ± 1.41,22.15,0.01,20.05,24.28,-28.7 ± 4.29,-32.51,3.81,-36.36,-24.68,-15.41 ± 1.37,-15.12,-0.289,-18.05,-14.17
